央视频道,#genre#
CCTV1,http://112.86.202.37:8112/JSBC_iptv/C10000037@JSBC
CCTV2,http://112.86.202.37:8112/JSBC_iptv/C10000038@JSBC
CCTV3,http://112.86.202.37:8112/JSBC_iptv/C10000220@JSBC
CCTV4,http://112.86.202.37:8112/JSBC_iptv/C10000039@JSBC
CCTV5,http://112.86.202.37:8112/JSBC_iptv/C10000221@JSBC
CCTV5+,http://112.86.202.37:8112/JSBC_iptv/C10000040@JSBC
CCTV6,http://112.86.202.37:8112/JSBC_iptv/C10000222@JSBC
CCTV7,http://157.0.143.37:8112/JSBC_iptv/C10000403@JSBC
CCTV7,http://112.86.202.37:8112/JSBC_iptv/C10000403@JSBC
CCTV8,http://112.86.202.37:8112/JSBC_iptv/C10000223@JSBC
CCTV9,http://112.86.202.37:8112/JSBC_iptv/C10000042@JSBC
CCTV10,http://112.86.202.37:8112/JSBC_iptv/C10000119@JSBC
CCTV11,http://157.0.143.37:8112/JSBC_iptv/C10000402@JSBC
CCTV11,http://112.86.202.37:8112/JSBC_iptv/C10000402@JSBC
CCTV12,http://112.86.202.37:8112/JSBC_iptv/C10000120@JSBC
CCTV13,http://112.86.202.37:8112/JSBC_iptv/C10000232@JSBC
CCTV14,http://112.86.202.37:8112/JSBC_iptv/C10000121@JSBC
CCTV15,http://122.97.211.133:8112/JSBC_iptv/C10000193@JSBC
CCTV15,http://112.86.202.37:8112/JSBC_iptv/C10000404@JSBC
CCTV16,http://112.86.202.37:8112/JSBC_iptv/C10000474@JSBC
CCTV17,http://112.86.202.37:8112/JSBC_iptv/C10000041@JSBC
CCTV4K,http://112.86.202.37:8112/JSBC_iptv/C10000473@JSBC
CETV1,http://112.86.202.37:8112/JSBC_iptv/C10000173@JSBC
CETV4,http://112.86.202.37:8112/JSBC_iptv/C10000405@JSBC
中数传媒,#genre#
梨园频道,http://157.0.143.37:8112/JSBC_iptv/C10000235@JSBC
梨园频道,http://112.86.202.37:8112/JSBC_iptv/C10000235@JSBC
法治天地,http://112.86.202.37:8112/JSBC_iptv/C10000422@JSBC
武术世界,http://157.0.143.37:8112/JSBC_iptv/C10000236@JSBC
武术世界,http://112.86.202.37:8112/JSBC_iptv/C10000236@JSBC
金鹰纪实,http://112.86.202.37:8112/JSBC_iptv/C10000187@JSBC
文物宝库,http://157.0.143.37:8112/JSBC_iptv/C10000237@JSBC
文物宝库,http://112.86.202.37:8112/JSBC_iptv/C10000237@JSBC
